IID1	IID2	PI_HAT
201_CC_ORW_CHN_F	241_CC_ORW_CHN_M	0.4181
203_CC_ORW_CHN_F	237_CC_ORW_CHN_F	0.4378
203_CC_ORW_CHN_F	241_CC_ORW_CHN_M	0.5129
204_CC_ORW_CHN_F	207_CC_ORW_CHN_F	0.7766
209_CC_ORW_CHN_F	210_CC_ORW_CHN_F	0.9203
209_CC_ORW_CHN_F	239_CC_ORW_CHN_F	0.8005
209_CC_ORW_CHN_F	242_CC_ORW_CHN_F	0.4082
210_CC_ORW_CHN_F	239_CC_ORW_CHN_F	0.8027
210_CC_ORW_CHN_F	242_CC_ORW_CHN_F	0.4098
211_CB_GBC_CHN_F	212_CB_GBC_CHN_F	0.3779
211_CB_GBC_CHN_F	213_CB_GBC_CHN_F	0.5072
211_CB_GBC_CHN_F	214_CB_GBC_CHN_F	0.6921
211_CB_GBC_CHN_F	216_CB_GBC_CHN_F	0.5882
211_CB_GBC_CHN_F	228_CB_GBC_CHN_F	0.5327
212_CB_GBC_CHN_F	228_CB_GBC_CHN_F	0.1933
213_CB_GBC_CHN_F	214_CB_GBC_CHN_F	0.7445
213_CB_GBC_CHN_F	216_CB_GBC_CHN_F	0.8687
213_CB_GBC_CHN_F	228_CB_GBC_CHN_F	0.8685
214_CB_GBC_CHN_F	216_CB_GBC_CHN_F	0.8221
214_CB_GBC_CHN_F	228_CB_GBC_CHN_F	0.6668
215_CB_GBC_CHN_F	245_CB_OMR_CHN_F	0.4817
216_CB_GBC_CHN_F	228_CB_GBC_CHN_F	0.7878
217_CB_ASC_CHN_F	229_CB_GBC_CHN_M	0.2847
236_CC_ORW_CHN_M	237_CC_ORW_CHN_F	0.1869
236_CC_ORW_CHN_M	243_CC_ORW_CHN_F	0.2267
237_CC_ORW_CHN_F	239_CC_ORW_CHN_F	0.2848
237_CC_ORW_CHN_F	241_CC_ORW_CHN_M	0.6132
237_CC_ORW_CHN_F	242_CC_ORW_CHN_F	0.1942
238_CC_ORW_CHN_F	243_CC_ORW_CHN_F	0.6234
239_CC_ORW_CHN_F	242_CC_ORW_CHN_F	0.4116
252_CC_SRT_RUS_F	254_CC_SRT_RUS_M	0.4274
264_CC_DRD_RUS_M	266_CC_DRD_RUS_M	0.4392
265_CC_DRD_RUS_M	267_CC_DRD_RUS_M	0.3422
268_CC_TBW_RUS_M	269_CC_TBW_RUS_F	0.4017
268_CC_TBW_RUS_M	271_CC_TBW_RUS_M	0.3634
269_CC_TBW_RUS_F	271_CC_TBW_RUS_M	0.8268
288_CC_UNK_RUS_F	375_CC_PLW_RUS_F	0.9317
315_CC_ACW_RUS_F	389_CC_ACW_RUS_F	0.9370
313_CO_ACW_RUS_M	320_CO_SCC_RUS_F	0.5313
332_CO_SCC_RUS_M	338_CO_SCC_RUS_M	0.3821
332_CO_SCC_RUS_M	339_CO_SCC_RUS_M	0.4645
332_CO_SCC_RUS_M	340_CO_SCC_RUS_M	0.2786
333_CO_SCC_RUS_F	336_CO_SCC_RUS_F	0.5956
333_CO_SCC_RUS_F	337_CO_SCC_RUS_M	0.5765
336_CO_SCC_RUS_F	337_CO_SCC_RUS_M	0.5823
338_CO_SCC_RUS_M	339_CO_SCC_RUS_M	0.1853
339_CO_SCC_RUS_M	340_CO_SCC_RUS_M	0.2395
341_CO_SCC_RUS_M	343_CO_SCC_RUS_M	0.4354
346_CO_YBW_RUS_F	347_CO_YBW_RUS_M	0.6518
346_CO_YBW_RUS_F	349_CO_YBW_RUS_M	0.2898
347_CO_YBW_RUS_M	349_CO_YBW_RUS_M	0.3298
350_CO_YBW_RUS_M	351_CO_YBW_RUS_M	0.4013
350_CO_YBW_RUS_M	353_CO_YBW_RUS_F	0.4305
351_CO_YBW_RUS_M	353_CO_YBW_RUS_F	0.7587
405_CO_ACW_RUS_F	406_CO_ACW_RUS_M	0.3181
